ciclo,corrida,prueba,resultado,detalle
1,1,test_01_compile_imports,OK,app.py compila OK; streamlit se instala desde requirements en Streamlit Cloud
1,2,test_02_roughness_cowan,OK,n=0.067
1,3,test_03_roughness_suggested,OK,n_adopt=0.045
1,4,test_04_trapezoid_sections,OK,secciones=11 puntos=88
1,5,test_05_trapezoid_capacity,OK,ymax=1.52
1,6,test_06_hydraulic_with_trapezoid,OK,filas=36
1,7,test_07_sediment_from_profile,OK,sed filas=36
1,8,test_08_granulometry_assign,OK,asignadas=11
1,9,test_09_transfer_dual,OK,Qtr=126.56
1,10,test_10_tiling_logic,OK,"tiles=9 rec={'rows': 3, 'cols': 3, 'mode': 'tiled'}"
2,1,test_01_compile_imports,OK,app.py compila OK; streamlit se instala desde requirements en Streamlit Cloud
2,2,test_02_roughness_cowan,OK,n=0.067
2,3,test_03_roughness_suggested,OK,n_adopt=0.045
2,4,test_04_trapezoid_sections,OK,secciones=11 puntos=88
2,5,test_05_trapezoid_capacity,OK,ymax=1.52
2,6,test_06_hydraulic_with_trapezoid,OK,filas=36
2,7,test_07_sediment_from_profile,OK,sed filas=36
2,8,test_08_granulometry_assign,OK,asignadas=11
2,9,test_09_transfer_dual,OK,Qtr=126.56
2,10,test_10_tiling_logic,OK,"tiles=9 rec={'rows': 3, 'cols': 3, 'mode': 'tiled'}"
3,1,test_01_compile_imports,OK,app.py compila OK; streamlit se instala desde requirements en Streamlit Cloud
3,2,test_02_roughness_cowan,OK,n=0.067
3,3,test_03_roughness_suggested,OK,n_adopt=0.045
3,4,test_04_trapezoid_sections,OK,secciones=11 puntos=88
3,5,test_05_trapezoid_capacity,OK,ymax=1.52
3,6,test_06_hydraulic_with_trapezoid,OK,filas=36
3,7,test_07_sediment_from_profile,OK,sed filas=36
3,8,test_08_granulometry_assign,OK,asignadas=11
3,9,test_09_transfer_dual,OK,Qtr=126.56
3,10,test_10_tiling_logic,OK,"tiles=9 rec={'rows': 3, 'cols': 3, 'mode': 'tiled'}"
4,1,test_01_compile_imports,OK,app.py compila OK; streamlit se instala desde requirements en Streamlit Cloud
4,2,test_02_roughness_cowan,OK,n=0.067
4,3,test_03_roughness_suggested,OK,n_adopt=0.045
4,4,test_04_trapezoid_sections,OK,secciones=11 puntos=88
4,5,test_05_trapezoid_capacity,OK,ymax=1.52
4,6,test_06_hydraulic_with_trapezoid,OK,filas=36
4,7,test_07_sediment_from_profile,OK,sed filas=36
4,8,test_08_granulometry_assign,OK,asignadas=11
4,9,test_09_transfer_dual,OK,Qtr=126.56
4,10,test_10_tiling_logic,OK,"tiles=9 rec={'rows': 3, 'cols': 3, 'mode': 'tiled'}"
5,1,test_01_compile_imports,OK,app.py compila OK; streamlit se instala desde requirements en Streamlit Cloud
5,2,test_02_roughness_cowan,OK,n=0.067
5,3,test_03_roughness_suggested,OK,n_adopt=0.045
5,4,test_04_trapezoid_sections,OK,secciones=11 puntos=88
5,5,test_05_trapezoid_capacity,OK,ymax=1.52
5,6,test_06_hydraulic_with_trapezoid,OK,filas=36
5,7,test_07_sediment_from_profile,OK,sed filas=36
5,8,test_08_granulometry_assign,OK,asignadas=11
5,9,test_09_transfer_dual,OK,Qtr=126.56
5,10,test_10_tiling_logic,OK,"tiles=9 rec={'rows': 3, 'cols': 3, 'mode': 'tiled'}"
6,1,test_01_compile_imports,OK,app.py compila OK; streamlit se instala desde requirements en Streamlit Cloud
6,2,test_02_roughness_cowan,OK,n=0.067
6,3,test_03_roughness_suggested,OK,n_adopt=0.045
6,4,test_04_trapezoid_sections,OK,secciones=11 puntos=88
6,5,test_05_trapezoid_capacity,OK,ymax=1.52
6,6,test_06_hydraulic_with_trapezoid,OK,filas=36
6,7,test_07_sediment_from_profile,OK,sed filas=36
6,8,test_08_granulometry_assign,OK,asignadas=11
6,9,test_09_transfer_dual,OK,Qtr=126.56
6,10,test_10_tiling_logic,OK,"tiles=9 rec={'rows': 3, 'cols': 3, 'mode': 'tiled'}"
7,1,test_01_compile_imports,OK,app.py compila OK; streamlit se instala desde requirements en Streamlit Cloud
7,2,test_02_roughness_cowan,OK,n=0.067
7,3,test_03_roughness_suggested,OK,n_adopt=0.045
7,4,test_04_trapezoid_sections,OK,secciones=11 puntos=88
7,5,test_05_trapezoid_capacity,OK,ymax=1.52
7,6,test_06_hydraulic_with_trapezoid,OK,filas=36
7,7,test_07_sediment_from_profile,OK,sed filas=36
7,8,test_08_granulometry_assign,OK,asignadas=11
7,9,test_09_transfer_dual,OK,Qtr=126.56
7,10,test_10_tiling_logic,OK,"tiles=9 rec={'rows': 3, 'cols': 3, 'mode': 'tiled'}"
8,1,test_01_compile_imports,OK,app.py compila OK; streamlit se instala desde requirements en Streamlit Cloud
8,2,test_02_roughness_cowan,OK,n=0.067
8,3,test_03_roughness_suggested,OK,n_adopt=0.045
8,4,test_04_trapezoid_sections,OK,secciones=11 puntos=88
8,5,test_05_trapezoid_capacity,OK,ymax=1.52
8,6,test_06_hydraulic_with_trapezoid,OK,filas=36
8,7,test_07_sediment_from_profile,OK,sed filas=36
8,8,test_08_granulometry_assign,OK,asignadas=11
8,9,test_09_transfer_dual,OK,Qtr=126.56
8,10,test_10_tiling_logic,OK,"tiles=9 rec={'rows': 3, 'cols': 3, 'mode': 'tiled'}"
9,1,test_01_compile_imports,OK,app.py compila OK; streamlit se instala desde requirements en Streamlit Cloud
9,2,test_02_roughness_cowan,OK,n=0.067
9,3,test_03_roughness_suggested,OK,n_adopt=0.045
9,4,test_04_trapezoid_sections,OK,secciones=11 puntos=88
9,5,test_05_trapezoid_capacity,OK,ymax=1.52
9,6,test_06_hydraulic_with_trapezoid,OK,filas=36
9,7,test_07_sediment_from_profile,OK,sed filas=36
9,8,test_08_granulometry_assign,OK,asignadas=11
9,9,test_09_transfer_dual,OK,Qtr=126.56
9,10,test_10_tiling_logic,OK,"tiles=9 rec={'rows': 3, 'cols': 3, 'mode': 'tiled'}"
10,1,test_01_compile_imports,OK,app.py compila OK; streamlit se instala desde requirements en Streamlit Cloud
10,2,test_02_roughness_cowan,OK,n=0.067
10,3,test_03_roughness_suggested,OK,n_adopt=0.045
10,4,test_04_trapezoid_sections,OK,secciones=11 puntos=88
10,5,test_05_trapezoid_capacity,OK,ymax=1.52
10,6,test_06_hydraulic_with_trapezoid,OK,filas=36
10,7,test_07_sediment_from_profile,OK,sed filas=36
10,8,test_08_granulometry_assign,OK,asignadas=11
10,9,test_09_transfer_dual,OK,Qtr=126.56
10,10,test_10_tiling_logic,OK,"tiles=9 rec={'rows': 3, 'cols': 3, 'mode': 'tiled'}"
